Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
4369,MXN,Pedregal de Santo Domingo,Coyoacán,Ciudad de México,"Pedregal de Santo Domingo, Coyoacán, Ciudad de México"
4369,MXN,Pedregal de Santo Domingo,Coyoacán,Ciudad de México,"Pedregal de Santo Domingo, Coyoacán, Ciudad de México"
20196,MXN,Ojocaliente,Aguascalientes,Aguascalientes,"Ojocaliente, Aguascalientes, Aguascalientes"
20196,MXN,Ojocaliente,Aguascalientes,Aguascalientes,"Ojocaliente, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
78210,MXN,Bellas Lomas,San Luis Potosí,San Luis Potosí,"Bellas Lomas, San Luis Potosí, San Luis Potosí"
78210,MXN,Bellas Lomas,San Luis Potosí,San Luis Potosí,"Bellas Lomas, San Luis Potosí, San Luis Potosí"
22880,MXN,Bahía,Ensenada,Baja California,"Bahía, Ensenada, Baja California"
22880,MXN,Bahía,Ensenada,Baja California,"Bahía, Ensenada, Baja California"
22880,MXN,Bahía,Ensenada,Baja California,"Bahía, Ensenada, Baja California"
22880,MXN,Bahía,Ensenada,Baja California,"Bahía, Ensenada, Baja California"
9710,MXN,Los Ángeles Apanoaya,Iztapalapa,Ciudad de México,"Los Ángeles Apanoaya, Iztapalapa, Ciudad de México"
9710,MXN,Los Ángeles Apanoaya,Iztapalapa,Ciudad de México,"Los Ángeles Apanoaya, Iztapalapa, Ciudad de México"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
95300,MXN,Fidel Herrera Beltrán,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltrán, Tres Valles, Veracruz de Ignacio de la Llave"
95300,MXN,Fidel Herrera Beltrán,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltrán, Tres Valles, Veracruz de Ignacio de la Llave"
95300,MXN,Fidel Herrera Beltrán,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltrán, Tres Valles, Veracruz de Ignacio de la Llave"
