Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
20196,MXN,Ojocaliente,Aguascalientes,Aguascalientes,"Ojocaliente, Aguascalientes, Aguascalientes"
20196,MXN,Ojocaliente,Aguascalientes,Aguascalientes,"Ojocaliente, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
75760,MXN,El Carmen,Tehuacan,Puebla,"El Carmen, Tehuacan, Puebla"
78210,MXN,Bellas Lomas,San Luis Potosi,San Luis Potosi,"Bellas Lomas, San Luis Potosi, San Luis Potosi"
78210,MXN,Bellas Lomas,San Luis Potosi,San Luis Potosi,"Bellas Lomas, San Luis Potosi, San Luis Potosi"
22880,MXN,Bahia,Ensenada,Baja California,"Bahia, Ensenada, Baja California"
22880,MXN,Bahia,Ensenada,Baja California,"Bahia, Ensenada, Baja California"
22880,MXN,Bahia,Ensenada,Baja California,"Bahia, Ensenada, Baja California"
22880,MXN,Bahia,Ensenada,Baja California,"Bahia, Ensenada, Baja California"
9710,MXN,Los Angeles Apanoaya,Iztapalapa,Ciudad de Mexico,"Los Angeles Apanoaya, Iztapalapa, Ciudad de Mexico"
9710,MXN,Los Angeles Apanoaya,Iztapalapa,Ciudad de Mexico,"Los Angeles Apanoaya, Iztapalapa, Ciudad de Mexico"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
20050,MXN,Bugambilias,Aguascalientes,Aguascalientes,"Bugambilias, Aguascalientes, Aguascalientes"
95300,MXN,Fidel Herrera Beltran,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltran, Tres Valles, Veracruz de Ignacio de la Llave"
95300,MXN,Fidel Herrera Beltran,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltran, Tres Valles, Veracruz de Ignacio de la Llave"
95300,MXN,Fidel Herrera Beltran,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltran, Tres Valles, Veracruz de Ignacio de la Llave"
95300,MXN,Fidel Herrera Beltran,Tres Valles,Veracruz de Ignacio de la Llave,"Fidel Herrera Beltran, Tres Valles, Veracruz de Ignacio de la Llave"
34500,MXN,Canelas,Canelas,Durango,"Canelas, Canelas, Durango"
34500,MXN,Canelas,Canelas,Durango,"Canelas, Canelas, Durango"
42110,MXN,Santiago Tlapacoya Centro,Pachuca de Soto,Hidalgo,"Santiago Tlapacoya Centro, Pachuca de Soto, Hidalgo"
42110,MXN,Santiago Tlapacoya Centro,Pachuca de Soto,Hidalgo,"Santiago Tlapacoya Centro, Pachuca de Soto, Hidalgo"
